metric,n,min,q1,median,q3,p95,p99,max,mean,std
mttr_ms,100,97.8,571.375,897.6,1996.4,2361.07,2692.783,3978.1,1186.797,785.887
detect_ms,100,76.5,486.625,827.1,1017.225,1398.66,1626.277,2495.2,785.643,408.983
restore_ms,100,15.4,40.875,90.25,999.625,1023.805,1161.249,1482.9,401.155,460.159
n_ok,100,,,,,,,,,
n_fail,0,,,,,,,,,
