group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,27.9,35.5,46.5,69.7,89.2,96.015,96.6,52.069,19.806
ALL,ram_pct,896,6.9,7.6,8.4,9.0,9.6,9.7,9.7,8.31,0.957
0_cams,cpu_pct,180,27.9,29.7,30.3,30.725,31.3,31.742,37.2,30.217,0.921
0_cams,ram_pct,180,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,0.0
1_cams,cpu_pct,179,33.2,35.5,36.1,36.9,38.2,39.022,39.1,36.248,1.123
1_cams,ram_pct,179,7.6,7.6,7.7,7.7,7.7,7.7,7.7,7.666,0.047
2_cams,cpu_pct,179,42.1,45.25,46.5,47.9,51.73,62.1,65.0,47.078,3.419
2_cams,ram_pct,179,8.3,8.3,8.4,8.4,8.5,8.5,8.5,8.39,0.064
3_cams,cpu_pct,179,53.8,59.0,62.2,70.95,77.01,80.874,84.2,64.546,7.108
3_cams,ram_pct,179,8.9,9.0,9.0,9.0,9.1,9.1,9.1,9.001,0.033
4_cams,cpu_pct,179,67.8,75.85,81.3,89.2,96.03,96.6,96.6,82.379,8.251
4_cams,ram_pct,179,9.4,9.6,9.6,9.6,9.7,9.7,9.7,9.602,0.06
