iteration,victim,detect_ms,restore_ms,mttr_ms,status
1,cam1,20.3,1574.9,1595.2,ok
2,cam2,27.2,1713.8,1741.0,ok
3,cam3,23.3,1081.9,1105.2,ok
4,cam4,10.6,1498.2,1508.8,ok
5,cam1,16.7,1566.5,1583.2,ok
6,cam2,30.1,1649.1,1679.1,ok
7,cam3,16.6,1106.9,1123.5,ok
8,cam4,14.4,1541.8,1556.3,ok
9,cam1,19.0,1574.3,1593.2,ok
10,cam2,12.6,1741.6,1754.2,ok
11,cam3,17.8,1039.9,1057.7,ok
12,cam4,28.6,1506.2,1534.8,ok
13,cam1,16.4,1538.2,1554.6,ok
14,cam2,18.5,1656.7,1675.2,ok
15,cam3,14.9,1098.9,1113.8,ok
16,cam4,21.1,1535.3,1556.4,ok
17,cam1,18.4,1600.9,1619.3,ok
18,cam2,10.3,1698.9,1709.2,ok
19,cam3,19.1,1078.7,1097.8,ok
20,cam4,25.8,1530.4,1556.2,ok
21,cam1,15.4,1579.8,1595.1,ok
22,cam2,17.4,1635.0,1652.4,ok
23,cam3,18.6,1043.0,1061.6,ok
24,cam4,17.3,1562.9,1580.2,ok
25,cam1,12.4,1599.1,1611.6,ok
26,cam2,12.3,1698.2,1710.5,ok
27,cam3,15.9,1059.1,1075.0,ok
28,cam4,17.7,1577.3,1595.0,ok
29,cam1,16.7,1599.2,1615.9,ok
30,cam2,15.1,1721.3,1736.4,ok
31,cam3,17.3,1038.7,1056.0,ok
32,cam4,18.3,1560.5,1578.7,ok
33,cam1,18.4,1618.1,1636.5,ok
34,cam2,12.7,1719.3,1732.0,ok
35,cam3,15.2,1046.9,1062.2,ok
36,cam4,15.5,1566.6,1582.1,ok
37,cam1,13.3,1560.8,1574.1,ok
38,cam2,16.7,1620.3,1637.0,ok
39,cam3,6.1,1064.2,1070.3,ok
40,cam4,13.6,1522.8,1536.4,ok
41,cam1,19.1,1573.3,1592.5,ok
42,cam2,15.0,1681.0,1696.0,ok
43,cam3,21.2,1055.3,1076.5,ok
44,cam4,21.6,1597.4,1619.0,ok
45,cam1,34.8,1524.3,1559.1,ok
46,cam2,18.1,1681.2,1699.4,ok
47,cam3,14.3,1061.0,1075.2,ok
48,cam4,17.1,1520.1,1537.2,ok
49,cam1,14.5,1558.4,1572.9,ok
50,cam2,12.8,1640.4,1653.2,ok
51,cam3,20.3,1056.7,1076.9,ok
52,cam4,22.1,1515.4,1537.5,ok
53,cam1,19.4,1557.9,1577.3,ok
54,cam2,20.1,1693.2,1713.3,ok
55,cam3,20.5,1018.3,1038.9,ok
56,cam4,21.3,1553.2,1574.5,ok
57,cam1,4.5,1603.8,1608.3,ok
58,cam2,17.3,1660.7,1677.9,ok
59,cam3,8.4,1061.1,1069.5,ok
60,cam4,17.8,1504.2,1522.0,ok
61,cam1,15.4,1560.5,1576.0,ok
62,cam2,15.7,1663.2,1678.9,ok
63,cam3,13.6,1041.8,1055.4,ok
64,cam4,17.3,1541.1,1558.5,ok
65,cam1,23.6,1597.1,1620.7,ok
66,cam2,18.0,1656.6,1674.6,ok
67,cam3,16.3,1038.4,1054.6,ok
68,cam4,12.5,1538.1,1550.6,ok
69,cam1,19.1,1596.7,1615.7,ok
70,cam2,18.2,1632.5,1650.7,ok
71,cam3,17.3,1075.9,1093.1,ok
72,cam4,19.7,1556.9,1576.6,ok
73,cam1,14.2,1519.9,1534.1,ok
74,cam2,19.4,1660.5,1680.0,ok
75,cam3,20.0,1036.9,1056.9,ok
76,cam4,10.8,1560.1,1570.9,ok
77,cam1,12.8,1578.1,1590.9,ok
78,cam2,15.6,1660.1,1675.7,ok
79,cam3,20.0,1045.9,1065.8,ok
80,cam4,15.1,1662.2,1677.3,ok
81,cam1,15.7,1578.1,1593.8,ok
82,cam2,13.5,1719.4,1732.9,ok
83,cam3,16.5,1042.0,1058.5,ok
84,cam4,18.9,1554.2,1573.1,ok
85,cam1,14.2,1557.3,1571.4,ok
86,cam2,12.6,1698.6,1711.2,ok
87,cam3,17.9,1058.6,1076.5,ok
88,cam4,17.1,1618.9,1636.0,ok
89,cam1,22.1,1593.7,1615.8,ok
90,cam2,18.1,1657.8,1675.8,ok
91,cam3,11.2,1063.5,1074.7,ok
92,cam4,20.2,1538.1,1558.3,ok
93,cam1,17.4,1577.6,1595.0,ok
94,cam2,8.0,1662.9,1671.0,ok
95,cam3,18.4,1057.0,1075.4,ok
96,cam4,15.9,1540.6,1556.5,ok
97,cam1,18.3,1622.2,1640.5,ok
98,cam2,14.6,1680.8,1695.5,ok
99,cam3,16.1,1060.5,1076.6,ok
100,cam4,13.8,1540.7,1554.5,ok
