metric,n,min,q1,median,q3,p95,p99,max,mean,std
mttr_ms,100,1038.9,1412.475,1576.95,1643.05,1714.235,1741.132,1754.2,1481.908,243.0
detect_ms,100,4.5,14.475,17.2,19.1,23.71,30.147,34.8,17.029,4.527
restore_ms,100,1018.3,1400.375,1560.5,1624.775,1699.645,1721.503,1741.6,1464.881,242.938
n_ok,100,,,,,,,,,
n_fail,0,,,,,,,,,
