group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,1439,72.1,81.6,85.9,92.1,96.5,97.7,98.5,86.71,6.103
ALL,ram_pct,1439,8.4,8.7,8.7,8.8,8.8,8.8,8.8,8.729,0.066
4_cams,cpu_pct,1439,72.1,81.6,85.9,92.1,96.5,97.7,98.5,86.71,6.103
4_cams,ram_pct,1439,8.4,8.7,8.7,8.8,8.8,8.8,8.8,8.729,0.066
