iteration,victim,detect_ms,restore_ms,mttr_ms,status
1,cam1,78.5,1678.2,1756.8,ok
2,cam2,78.4,2217.7,2296.1,ok
3,cam3,71.6,1135.9,1207.5,ok
4,cam4,78.3,1958.4,2036.7,ok
5,cam1,84.0,1718.1,1802.2,ok
6,cam2,56.4,2101.8,2158.3,ok
7,cam3,91.0,1184.2,1275.2,ok
8,cam4,74.4,1835.4,1909.8,ok
9,cam1,74.1,1699.6,1773.7,ok
10,cam2,79.0,2223.6,2302.6,ok
11,cam3,89.0,1203.4,1292.4,ok
12,cam4,77.8,1918.6,1996.3,ok
13,cam1,77.1,1729.6,1806.7,ok
14,cam2,93.4,2180.0,2273.4,ok
15,cam3,76.0,1154.0,1230.0,ok
16,cam4,75.8,2097.6,2173.5,ok
17,cam1,74.1,1720.5,1794.6,ok
18,cam2,76.1,2195.8,2272.0,ok
19,cam3,78.5,1159.0,1237.5,ok
20,cam4,73.1,1868.2,1941.4,ok
21,cam1,83.1,1633.5,1716.6,ok
22,cam2,76.3,2093.5,2169.9,ok
23,cam3,70.5,1183.0,1253.4,ok
24,cam4,66.2,1887.4,1953.6,ok
25,cam1,101.0,1675.9,1776.9,ok
26,cam2,77.9,2234.8,2312.8,ok
27,cam3,84.2,1177.6,1261.8,ok
28,cam4,96.5,1958.6,2055.1,ok
29,cam1,84.1,1675.7,1759.8,ok
30,cam2,77.7,2114.2,2191.9,ok
31,cam3,73.7,1116.9,1190.6,ok
32,cam4,66.3,2049.0,2115.2,ok
33,cam1,90.2,1750.2,1840.3,ok
34,cam2,73.1,2193.6,2266.8,ok
35,cam3,84.0,1233.9,1317.9,ok
36,cam4,65.8,2127.5,2193.3,ok
37,cam1,83.7,1780.6,1864.2,ok
38,cam2,69.4,2438.9,2508.3,ok
39,cam3,72.2,1338.9,1411.1,ok
40,cam4,91.6,1785.5,1877.2,ok
41,cam1,76.0,1777.2,1853.3,ok
42,cam2,76.5,2144.6,2221.1,ok
43,cam3,79.2,1145.6,1224.8,ok
44,cam4,84.3,1829.4,1913.7,ok
45,cam1,81.2,1736.5,1817.7,ok
46,cam2,82.8,2317.3,2400.1,ok
47,cam3,88.2,1104.4,1192.5,ok
48,cam4,90.6,1884.4,1975.1,ok
49,cam1,58.4,1683.0,1741.5,ok
50,cam2,58.0,2096.9,2154.9,ok
51,cam3,79.7,1137.1,1216.7,ok
52,cam4,82.0,1852.6,1934.6,ok
53,cam1,75.3,1718.8,1794.1,ok
54,cam2,111.4,2178.7,2290.1,ok
55,cam3,79.6,1170.8,1250.4,ok
56,cam4,59.4,1877.2,1936.6,ok
57,cam1,79.5,1736.7,1816.2,ok
58,cam2,75.0,2176.9,2251.9,ok
59,cam3,60.5,1184.4,1244.8,ok
60,cam4,78.2,1957.6,2035.8,ok
61,cam1,57.9,1536.3,1594.2,ok
62,cam2,76.0,2220.9,2296.9,ok
63,cam3,79.0,1119.1,1198.1,ok
64,cam4,79.3,1932.5,2011.8,ok
65,cam1,77.1,1655.0,1732.0,ok
66,cam2,56.7,2202.7,2259.4,ok
67,cam3,71.3,1178.6,1249.9,ok
68,cam4,83.8,1850.0,1933.8,ok
69,cam1,74.8,1696.9,1771.7,ok
70,cam2,77.6,2238.9,2316.6,ok
71,cam3,80.5,1177.8,1258.2,ok
72,cam4,87.7,1817.8,1905.6,ok
73,cam1,73.1,1750.6,1823.7,ok
74,cam2,74.6,2120.2,2194.7,ok
75,cam3,80.1,1194.7,1274.9,ok
76,cam4,83.0,2036.5,2119.5,ok
77,cam1,99.4,1796.8,1896.2,ok
78,cam2,85.1,2210.1,2295.2,ok
79,cam3,76.3,1319.1,1395.4,ok
80,cam4,73.6,2125.3,2199.0,ok
81,cam1,82.1,1865.7,1947.8,ok
82,cam2,77.8,2262.3,2340.1,ok
83,cam3,94.1,1238.3,1332.4,ok
84,cam4,74.1,1779.0,1853.0,ok
85,cam1,74.8,1697.3,1772.2,ok
86,cam2,82.1,2198.3,2280.3,ok
87,cam3,59.9,1182.9,1242.8,ok
88,cam4,79.8,1895.5,1975.3,ok
89,cam1,78.8,1717.2,1796.0,ok
90,cam2,92.9,2085.5,2178.4,ok
91,cam3,58.8,1135.8,1194.5,ok
92,cam4,95.5,1819.3,1914.8,ok
93,cam1,79.3,1659.9,1739.2,ok
94,cam2,74.8,2137.6,2212.5,ok
95,cam3,80.1,1093.8,1173.9,ok
96,cam4,86.7,1874.9,1961.5,ok
97,cam1,79.9,1737.6,1817.5,ok
98,cam2,59.3,2217.2,2276.5,ok
99,cam3,79.9,1184.0,1263.9,ok
100,cam4,77.1,1855.4,1932.5,ok
