metric,n,min,q1,median,q3,p95,p99,max,mean,std
mttr_ms,100,1173.9,1548.425,1886.7,2170.8,2303.11,2401.182,2508.3,1827.712,380.641
detect_ms,100,56.4,74.1,78.25,83.025,94.17,101.104,111.4,78.146,9.92
restore_ms,100,1093.8,1486.95,1791.15,2097.075,2224.16,2318.516,2438.9,1749.562,380.619
n_ok,100,,,,,,,,,
n_fail,0,,,,,,,,,
