group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,716,40.0,47.95,63.15,80.125,94.525,97.585,98.4,63.997,17.778
ALL,ram_pct,716,6.8,7.375,7.95,8.525,8.8,8.8,8.8,7.88,0.689
1_cams,cpu_pct,179,40.0,42.3,42.9,43.9,45.01,45.722,46.0,43.081,1.095
1_cams,ram_pct,179,6.8,6.9,6.9,6.9,7.0,7.0,7.0,6.908,0.033
2_cams,cpu_pct,179,48.6,51.6,52.6,54.4,61.12,68.622,72.9,53.486,3.54
2_cams,ram_pct,179,7.5,7.6,7.6,7.6,7.8,7.8,7.8,7.626,0.058
3_cams,cpu_pct,179,61.3,66.3,69.8,79.3,85.21,87.65,93.1,72.375,7.356
3_cams,ram_pct,179,8.1,8.2,8.2,8.3,8.4,8.5,8.5,8.249,0.091
4_cams,cpu_pct,179,75.7,81.2,85.3,93.4,97.5,98.044,98.4,87.044,6.78
4_cams,ram_pct,179,8.6,8.7,8.7,8.8,8.8,8.8,8.8,8.736,0.052
