Camaras activas,1080p @ 25 fps,1080p @ 50 fps,2160p @ 25 fps,2160p @ 50 fps
1,8.2,8.3,9.9,10.0
2,8.9,9.0,10.9,10.8
3,9.5,9.8,11.8,11.5
4,10.2,10.4,12.1,12.3
