Camaras activas,1080p @ 25 fps,1080p @ 50 fps,2160p @ 25 fps,2160p @ 50 fps
1,35.3,43.9,50.2,57.7
2,43.0,53.5,63.3,67.5
3,59.1,71.0,80.2,78.4
4,89.1,86.3,91.1,87.8
