Camaras activas,1080p @ 25 fps,1080p @ 50 fps,2160p @ 25 fps,2160p @ 50 fps
1,36.8,44.3,51.7,57.5
2,45.3,53.5,64.9,68.2
3,60.95,71.45,80.0,79.5
4,89.1,86.1,92.5,89.65
