Camaras activas,1080p @ 25 fps,1080p @ 50 fps,2160p @ 25 fps,2160p @ 50 fps
1,7.9,8.1,9.5,9.2
2,8.6,8.8,10.4,10.0
3,9.2,9.4,11.1,10.8
4,10.0,10.0,11.8,11.6
