Camaras activas,1080p @ 25 fps,1080p @ 50 fps,2160p @ 25 fps,2160p @ 50 fps
1,35.9,43.4,50.1,56.9
2,44.5,53.0,62.9,67.0
3,59.5,70.1,79.0,77.4
4,89.6,85.7,91.8,87.0
