group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,26.2,34.875,46.5,61.3,93.825,96.5,96.9,51.458,20.889
ALL,ram_pct,896,7.9,8.9,9.7,10.5,11.3,11.3,11.4,9.649,1.122
0_cams,cpu_pct,180,26.2,27.6,28.0,28.4,28.8,29.121,35.8,28.027,0.81
0_cams,ram_pct,180,7.9,8.0,8.0,8.0,8.1,8.1,8.1,8.015,0.042
1_cams,cpu_pct,179,33.5,34.85,35.8,36.8,38.22,38.766,39.2,35.891,1.258
1_cams,ram_pct,179,8.8,8.9,8.9,8.9,9.0,9.0,9.0,8.896,0.051
2_cams,cpu_pct,179,43.5,45.65,46.5,47.8,50.63,85.244,85.5,47.909,6.763
2_cams,ram_pct,179,9.5,9.65,9.7,9.7,9.8,9.8,9.8,9.683,0.064
3_cams,cpu_pct,179,54.8,57.75,59.4,60.85,91.11,91.922,92.1,62.922,10.722
3_cams,ram_pct,179,10.3,10.4,10.5,10.5,10.6,10.7,10.7,10.491,0.077
4_cams,cpu_pct,179,65.7,73.7,77.7,93.85,96.5,96.8,96.9,82.673,10.366
4_cams,ram_pct,179,10.9,11.1,11.2,11.3,11.3,11.4,11.4,11.168,0.122
