metric,n,min,q1,median,q3,p95,p99,max,mean,std
mttr_ms,100,34.9,937.15,1177.65,1402.125,1596.785,1636.508,1637.3,1016.713,528.054
detect_ms,100,1.3,18.0,278.35,296.125,315.11,316.607,317.3,204.782,122.027
restore_ms,100,12.3,659.6,900.25,1140.525,1321.305,1519.012,1540.0,811.936,440.659
n_ok,100,,,,,,,,,
n_fail,0,,,,,,,,,
