iteration,victim,detect_ms,restore_ms,mttr_ms,status
1,cam1,296.8,880.9,1177.6,ok
2,cam2,295.5,1302.9,1598.4,ok
3,cam3,277.5,660.5,938.0,ok
4,cam4,315.3,1120.7,1436.0,ok
5,cam1,317.3,919.6,1236.9,ok
6,cam2,256.2,1381.1,1637.3,ok
7,cam3,1.3,216.8,218.2,ok
8,cam4,296.2,1100.8,1397.0,ok
9,cam1,15.3,39.2,54.5,ok
10,cam2,298.1,1282.2,1580.4,ok
11,cam3,279.1,701.9,981.0,ok
12,cam4,296.1,1122.7,1418.8,ok
13,cam1,14.2,38.8,52.9,ok
14,cam2,18.0,178.0,196.0,ok
15,cam3,296.3,641.0,937.3,ok
16,cam4,173.9,1163.6,1337.5,ok
17,cam1,14.2,21.7,36.0,ok
18,cam2,17.3,1518.8,1536.1,ok
19,cam3,216.9,739.9,956.8,ok
20,cam4,17.9,117.7,135.6,ok
21,cam1,296.4,860.8,1157.2,ok
22,cam2,14.6,81.1,95.6,ok
23,cam3,297.7,659.8,957.5,ok
24,cam4,277.6,1141.2,1418.8,ok
25,cam1,196.9,1000.0,1196.9,ok
26,cam2,296.1,1320.3,1616.4,ok
27,cam3,273.4,661.0,934.3,ok
28,cam4,214.4,1183.4,1397.8,ok
29,cam1,295.7,940.2,1235.9,ok
30,cam2,16.4,60.1,76.4,ok
31,cam3,276.0,719.5,995.5,ok
32,cam4,296.3,1101.5,1397.8,ok
33,cam1,316.2,860.5,1176.8,ok
34,cam2,296.1,1340.4,1636.5,ok
35,cam3,274.4,680.3,954.7,ok
36,cam4,294.2,1119.9,1414.1,ok
37,cam1,14.8,140.0,154.8,ok
38,cam2,12.5,79.6,92.1,ok
39,cam3,215.7,738.4,954.1,ok
40,cam4,16.2,39.8,56.0,ok
41,cam1,316.3,859.8,1176.1,ok
42,cam2,293.3,1260.5,1553.8,ok
43,cam3,17.0,98.3,115.4,ok
44,cam4,216.7,1259.5,1476.2,ok
45,cam1,249.3,920.5,1169.7,ok
46,cam2,296.0,1240.6,1536.5,ok
47,cam3,15.5,118.6,134.1,ok
48,cam4,13.2,62.1,75.3,ok
49,cam1,160.9,1056.4,1217.3,ok
50,cam2,291.0,1259.9,1550.9,ok
51,cam3,295.7,661.2,956.9,ok
52,cam4,295.8,1060.7,1356.4,ok
53,cam1,17.5,1160.0,1177.5,ok
54,cam2,293.7,1300.9,1594.6,ok
55,cam3,115.1,821.5,936.7,ok
56,cam4,22.7,12.3,34.9,ok
57,cam1,292.1,900.3,1192.5,ok
58,cam2,288.5,1244.3,1532.8,ok
59,cam3,294.3,661.7,956.0,ok
60,cam4,295.4,1099.8,1395.2,ok
61,cam1,296.1,920.3,1216.4,ok
62,cam2,270.3,1259.4,1529.7,ok
63,cam3,12.1,981.3,993.3,ok
64,cam4,16.1,100.7,116.9,ok
65,cam1,313.1,879.5,1192.6,ok
66,cam2,18.0,1540.0,1558.0,ok
67,cam3,16.5,139.8,156.3,ok
68,cam4,156.5,1219.3,1375.9,ok
69,cam1,217.2,1000.6,1217.8,ok
70,cam2,295.7,1299.9,1595.6,ok
71,cam3,273.8,681.7,955.5,ok
72,cam4,297.6,1099.8,1397.4,ok
73,cam1,314.5,900.2,1214.7,ok
74,cam2,296.8,1299.9,1596.7,ok
75,cam3,297.3,659.3,956.5,ok
76,cam4,298.6,1100.2,1398.8,ok
77,cam1,315.0,902.0,1217.0,ok
78,cam2,15.4,101.4,116.8,ok
79,cam3,296.0,740.1,1036.1,ok
80,cam4,293.3,1101.1,1394.4,ok
81,cam1,313.4,901.3,1214.6,ok
82,cam2,294.1,1279.7,1573.8,ok
83,cam3,296.8,657.9,954.7,ok
84,cam4,313.3,1060.6,1373.9,ok
85,cam1,16.3,62.6,79.0,ok
86,cam2,14.5,119.2,133.8,ok
87,cam3,291.4,659.7,951.0,ok
88,cam4,175.3,1140.3,1315.6,ok
89,cam1,315.1,860.4,1175.5,ok
90,cam2,295.4,1319.4,1614.8,ok
91,cam3,196.7,743.6,940.4,ok
92,cam4,297.2,1122.3,1419.5,ok
93,cam1,316.6,839.8,1156.4,ok
94,cam2,195.9,1379.9,1575.8,ok
95,cam3,215.0,721.1,936.0,ok
96,cam4,291.7,1120.5,1412.1,ok
97,cam1,297.2,880.6,1177.7,ok
98,cam2,17.3,99.5,116.7,ok
99,cam3,13.7,59.4,73.1,ok
100,cam4,16.4,1303.8,1320.2,ok
