iteration,from,to,latency_ms,status
1,fs,sbs,1248.6,ok
2,sbs,fs,515.1,ok
3,fs,sbs,1260.5,ok
4,sbs,fs,191.9,ok
5,fs,sbs,157.9,ok
6,sbs,fs,178.3,ok
7,fs,sbs,156.1,ok
8,sbs,fs,138.3,ok
9,fs,sbs,153.4,ok
10,sbs,fs,218.1,ok
11,fs,sbs,1277.0,ok
12,sbs,fs,476.1,ok
13,fs,sbs,158.6,ok
14,sbs,fs,397.7,ok
15,fs,sbs,156.2,ok
16,sbs,fs,374.9,ok
17,fs,sbs,138.7,ok
18,sbs,fs,394.5,ok
19,fs,sbs,136.7,ok
20,sbs,fs,393.8,ok
21,fs,sbs,138.6,ok
22,sbs,fs,395.7,ok
23,fs,sbs,139.4,ok
24,sbs,fs,396.4,ok
25,fs,sbs,139.7,ok
26,sbs,fs,393.0,ok
27,fs,sbs,141.9,ok
28,sbs,fs,392.9,ok
29,fs,sbs,138.9,ok
30,sbs,fs,375.5,ok
31,fs,sbs,135.9,ok
32,sbs,fs,418.6,ok
33,fs,sbs,134.8,ok
34,sbs,fs,394.3,ok
35,fs,sbs,139.2,ok
36,sbs,fs,435.6,ok
37,fs,sbs,135.8,ok
38,sbs,fs,397.7,ok
39,fs,sbs,137.6,ok
40,sbs,fs,434.2,ok
41,fs,sbs,159.5,ok
42,sbs,fs,394.9,ok
43,fs,sbs,138.9,ok
44,sbs,fs,372.7,ok
45,fs,sbs,140.9,ok
46,sbs,fs,432.6,ok
47,fs,sbs,140.7,ok
48,sbs,fs,394.5,ok
49,fs,sbs,157.9,ok
50,sbs,fs,376.0,ok
51,fs,sbs,138.5,ok
52,sbs,fs,411.8,ok
53,fs,sbs,140.0,ok
54,sbs,fs,392.2,ok
55,fs,sbs,117.8,ok
56,sbs,fs,438.1,ok
57,fs,sbs,134.8,ok
58,sbs,fs,377.6,ok
59,fs,sbs,136.6,ok
60,sbs,fs,435.8,ok
61,fs,sbs,136.8,ok
62,sbs,fs,378.0,ok
63,fs,sbs,134.9,ok
64,sbs,fs,374.9,ok
65,fs,sbs,118.0,ok
66,sbs,fs,437.9,ok
67,fs,sbs,134.4,ok
68,sbs,fs,417.0,ok
69,fs,sbs,120.1,ok
70,sbs,fs,434.6,ok
71,fs,sbs,117.8,ok
72,sbs,fs,373.9,ok
73,fs,sbs,121.1,ok
74,sbs,fs,415.2,ok
75,fs,sbs,135.8,ok
76,sbs,fs,416.6,ok
77,fs,sbs,138.1,ok
78,sbs,fs,396.8,ok
79,fs,sbs,117.8,ok
80,sbs,fs,435.7,ok
81,fs,sbs,116.3,ok
82,sbs,fs,417.4,ok
83,fs,sbs,117.9,ok
84,sbs,fs,415.6,ok
85,fs,sbs,135.2,ok
86,sbs,fs,337.8,ok
87,fs,sbs,138.7,ok
88,sbs,fs,373.7,ok
89,fs,sbs,138.3,ok
90,sbs,fs,416.4,ok
91,fs,sbs,115.7,ok
92,sbs,fs,419.9,ok
93,fs,sbs,138.5,ok
94,sbs,fs,370.5,ok
95,fs,sbs,119.5,ok
96,sbs,fs,417.8,ok
97,fs,sbs,138.2,ok
98,sbs,fs,434.6,ok
99,fs,sbs,118.3,ok
100,sbs,fs,416.4,ok
