group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,945,0.0,43.0,52.5,78.6,95.36,97.1,97.7,59.652,20.263
ALL,ram_pct,945,0.0,7.0,8.3,9.0,9.3,9.3,9.4,8.035,1.081
0_cams,cpu_pct,8,0.0,0.0,0.0,8.075,35.03,36.206,36.5,8.6,15.964
0_cams,ram_pct,8,0.0,0.0,0.0,1.525,6.165,6.193,6.2,1.538,2.847
1_cams,cpu_pct,231,32.3,38.95,40.7,42.0,43.45,44.87,46.2,40.462,2.161
1_cams,ram_pct,231,6.2,6.8,6.9,7.0,7.0,7.0,7.0,6.903,0.108
2_cams,cpu_pct,230,40.1,44.225,45.6,47.4,51.71,59.513,65.4,46.272,3.493
2_cams,ram_pct,230,7.0,7.6,7.7,7.8,7.9,7.9,8.0,7.71,0.133
3_cams,cpu_pct,234,48.7,57.725,62.3,68.55,81.57,85.6,88.0,63.803,8.448
3_cams,ram_pct,234,7.9,8.4,8.5,8.5,8.6,8.7,8.7,8.488,0.094
4_cams,cpu_pct,242,57.7,84.325,90.15,94.6,96.8,97.7,97.7,88.36,7.822
4_cams,ram_pct,242,8.6,9.2,9.2,9.3,9.3,9.4,9.4,9.202,0.104
