group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,47.5,56.6,67.0,78.4,96.725,97.7,98.0,68.116,14.93
ALL,ram_pct,896,8.3,9.2,10.0,10.9,11.7,11.8,11.9,10.005,1.181
0_cams,cpu_pct,180,47.5,48.4,48.7,49.0,49.4,49.721,49.8,48.688,0.464
0_cams,ram_pct,180,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,0.0
1_cams,cpu_pct,179,55.5,56.6,56.9,57.3,58.1,58.522,58.6,56.992,0.594
1_cams,ram_pct,179,9.1,9.2,9.2,9.3,9.3,9.3,9.3,9.231,0.057
2_cams,cpu_pct,179,64.2,66.1,67.0,67.9,69.11,69.622,69.7,67.034,1.192
2_cams,ram_pct,179,9.8,9.9,10.0,10.1,10.1,10.2,10.2,9.997,0.086
3_cams,cpu_pct,179,74.7,76.8,77.4,78.4,85.5,96.122,96.4,78.401,4.13
3_cams,ram_pct,179,10.7,10.8,10.8,10.9,11.0,11.022,11.1,10.859,0.089
4_cams,cpu_pct,179,83.4,86.0,87.0,96.75,97.7,97.922,98.0,89.574,4.998
4_cams,ram_pct,179,11.4,11.6,11.6,11.7,11.8,11.822,11.9,11.647,0.099
