group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,1439,74.2,82.85,86.8,92.2,95.51,96.7,97.1,87.341,5.437
ALL,ram_pct,1439,9.7,10.2,10.3,10.3,10.3,10.4,10.4,10.26,0.083
4_cams,cpu_pct,1439,74.2,82.85,86.8,92.2,95.51,96.7,97.1,87.341,5.437
4_cams,ram_pct,1439,9.7,10.2,10.3,10.3,10.3,10.4,10.4,10.26,0.083
