metric,n,min,q1,median,q3,p95,p99,max,mean,std
mttr_ms,100,735.1,1914.825,1956.65,2015.825,2437.665,2718.765,2735.1,1884.863,410.265
detect_ms,100,55.6,77.35,96.05,136.825,361.46,922.138,1698.1,145.957,202.266
restore_ms,100,638.5,1831.525,1859.25,1899.875,2264.14,2498.5,2637.1,1738.909,433.205
n_ok,100,,,,,,,,,
n_fail,0,,,,,,,,,
