group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,1040,0.0,60.1,74.05,85.4,96.905,97.3,97.7,73.28,14.379
ALL,ram_pct,1040,0.0,10.5,14.0,15.2,16.6,16.7,16.8,13.261,2.768
0_cams,cpu_pct,7,0.0,0.0,0.0,0.0,27.79,37.318,39.7,5.671,15.005
0_cams,ram_pct,7,0.0,0.0,0.0,0.0,5.04,6.768,7.2,1.029,2.721
1_cams,cpu_pct,255,39.7,56.2,56.9,58.0,59.33,60.1,60.2,57.052,1.612
1_cams,ram_pct,255,7.2,9.1,9.8,10.2,10.4,10.5,10.6,9.6,0.714
2_cams,cpu_pct,256,56.9,65.8,67.1,68.3,70.125,73.285,74.0,67.217,1.898
2_cams,ram_pct,256,10.5,11.8,12.95,13.4,13.6,13.7,13.8,12.639,0.879
3_cams,cpu_pct,264,66.5,77.3,78.3,79.4,94.98,95.4,96.0,79.277,4.63
3_cams,ram_pct,264,13.8,14.5,14.8,15.0,15.1,15.2,15.3,14.75,0.307
4_cams,cpu_pct,258,74.7,86.5,88.35,96.8,97.3,97.6,97.7,91.032,5.182
4_cams,ram_pct,258,15.3,16.0,16.4,16.6,16.7,16.8,16.8,16.307,0.309
