group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,33.5,42.9,53.0,78.3,93.15,97.505,98.6,58.581,19.497
ALL,ram_pct,896,7.2,8.0,8.8,9.4,10.1,10.1,10.1,8.712,0.964
0_cams,cpu_pct,180,33.5,35.4,35.85,36.3,36.805,37.1,37.2,35.835,0.656
0_cams,ram_pct,180,7.2,7.3,7.3,7.3,7.3,7.3,7.3,7.294,0.023
1_cams,cpu_pct,179,40.8,42.9,43.4,44.1,45.11,45.722,46.0,43.527,0.898
1_cams,ram_pct,179,8.0,8.0,8.1,8.1,8.1,8.1,8.1,8.071,0.046
2_cams,cpu_pct,179,48.2,52.0,53.0,54.45,59.73,69.11,73.1,53.743,3.506
2_cams,ram_pct,179,8.7,8.7,8.8,8.8,8.9,8.9,8.9,8.777,0.057
3_cams,cpu_pct,179,61.8,66.65,70.1,79.4,84.86,87.41,89.8,72.637,7.196
3_cams,ram_pct,179,9.3,9.4,9.4,9.4,9.5,9.6,9.6,9.402,0.059
4_cams,cpu_pct,179,74.9,81.5,85.7,93.2,97.51,97.988,98.6,87.288,6.63
4_cams,ram_pct,179,9.9,10.0,10.0,10.1,10.1,10.1,10.1,10.023,0.067
