group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,42.6,49.5,63.3,84.6,95.8,97.5,97.7,66.601,18.922
ALL,ram_pct,896,8.9,9.9,10.9,11.8,12.1,12.405,12.6,10.732,1.134
0_cams,cpu_pct,180,42.6,43.2,43.5,43.8,44.2,44.505,56.0,43.552,1.013
0_cams,ram_pct,180,8.9,9.0,9.0,9.1,9.1,9.1,9.2,9.046,0.055
1_cams,cpu_pct,179,47.9,49.5,50.2,51.1,52.41,53.088,53.6,50.355,1.139
1_cams,ram_pct,179,9.8,9.9,9.9,9.9,10.0,10.0,10.1,9.912,0.061
2_cams,cpu_pct,179,59.0,62.3,63.3,64.75,72.04,93.1,93.2,64.932,6.415
2_cams,ram_pct,179,10.6,10.8,10.9,11.0,11.1,11.2,11.2,10.908,0.127
3_cams,cpu_pct,179,73.3,77.8,80.2,83.7,94.4,96.244,96.5,81.908,6.096
3_cams,ram_pct,179,11.3,11.7,11.8,11.8,11.9,11.9,11.9,11.717,0.166
4_cams,cpu_pct,179,86.7,90.1,91.1,95.65,97.5,97.6,97.7,92.385,3.183
4_cams,ram_pct,179,11.8,12.0,12.1,12.1,12.41,12.522,12.6,12.083,0.143
