metric,n,min,q1,median,q3,p95,p99,max,mean,std
mttr_ms,100,64.3,1277.225,1539.05,1794.3,1911.215,1916.378,1953.8,1525.788,388.505
detect_ms,100,1.8,32.35,35.5,38.7,393.54,426.119,437.9,63.293,101.399
restore_ms,100,34.4,1238.975,1484.75,1756.825,1874.155,1883.243,1917.2,1462.489,400.673
n_ok,100,,,,,,,,,
n_fail,0,,,,,,,,,
