iteration,from,to,latency_ms,status
1,cam1,cam2,140.1,ok
2,cam2,cam3,138.1,ok
3,cam3,cam4,389.4,ok
4,cam4,cam1,135.2,ok
5,cam1,cam2,131.5,ok
6,cam2,cam3,435.8,ok
7,cam3,cam4,158.1,ok
8,cam4,cam1,130.8,ok
9,cam1,cam2,655.9,ok
10,cam2,cam3,570.8,ok
11,cam3,cam4,158.8,ok
12,cam4,cam1,135.6,ok
13,cam1,cam2,650.6,ok
14,cam2,cam3,595.9,ok
15,cam3,cam4,134.9,ok
16,cam4,cam1,137.6,ok
17,cam1,cam2,685.4,ok
18,cam2,cam3,617.0,ok
19,cam3,cam4,133.1,ok
20,cam4,cam1,135.0,ok
21,cam1,cam2,673.3,ok
22,cam2,cam3,554.0,ok
23,cam3,cam4,137.8,ok
24,cam4,cam1,193.1,ok
25,cam1,cam2,692.2,ok
26,cam2,cam3,515.7,ok
27,cam3,cam4,133.6,ok
28,cam4,cam1,215.7,ok
29,cam1,cam2,715.3,ok
30,cam2,cam3,540.2,ok
31,cam3,cam4,750.1,ok
32,cam4,cam1,137.3,ok
33,cam1,cam2,129.5,ok
34,cam2,cam3,555.3,ok
35,cam3,cam4,757.8,ok
36,cam4,cam1,138.8,ok
37,cam1,cam2,125.7,ok
38,cam2,cam3,560.4,ok
39,cam3,cam4,131.7,ok
40,cam4,cam1,176.3,ok
41,cam1,cam2,654.8,ok
42,cam2,cam3,632.8,ok
43,cam3,cam4,741.1,ok
44,cam4,cam1,129.7,ok
45,cam1,cam2,136.4,ok
46,cam2,cam3,648.0,ok
47,cam3,cam4,679.1,ok
48,cam4,cam1,151.5,ok
49,cam1,cam2,136.7,ok
50,cam2,cam3,621.1,ok
51,cam3,cam4,751.6,ok
52,cam4,cam1,131.4,ok
53,cam1,cam2,134.2,ok
54,cam2,cam3,617.1,ok
55,cam3,cam4,693.4,ok
56,cam4,cam1,133.7,ok
57,cam1,cam2,137.6,ok
58,cam2,cam3,611.3,ok
59,cam3,cam4,693.1,ok
60,cam4,cam1,140.1,ok
61,cam1,cam2,125.3,ok
62,cam2,cam3,640.5,ok
63,cam3,cam4,675.0,ok
64,cam4,cam1,130.9,ok
65,cam1,cam2,152.8,ok
66,cam2,cam3,572.3,ok
67,cam3,cam4,718.6,ok
68,cam4,cam1,134.1,ok
69,cam1,cam2,132.6,ok
70,cam2,cam3,616.3,ok
71,cam3,cam4,675.8,ok
72,cam4,cam1,130.8,ok
73,cam1,cam2,137.0,ok
74,cam2,cam3,635.0,ok
75,cam3,cam4,690.9,ok
76,cam4,cam1,137.7,ok
77,cam1,cam2,134.9,ok
78,cam2,cam3,636.7,ok
79,cam3,cam4,651.6,ok
80,cam4,cam1,136.8,ok
81,cam1,cam2,130.8,ok
82,cam2,cam3,633.7,ok
83,cam3,cam4,735.2,ok
84,cam4,cam1,141.1,ok
85,cam1,cam2,125.6,ok
86,cam2,cam3,598.9,ok
87,cam3,cam4,716.2,ok
88,cam4,cam1,772.2,ok
89,cam1,cam2,135.4,ok
90,cam2,cam3,134.0,ok
91,cam3,cam4,513.5,ok
92,cam4,cam1,132.5,ok
93,cam1,cam2,137.0,ok
94,cam2,cam3,690.8,ok
95,cam3,cam4,618.2,ok
96,cam4,cam1,135.6,ok
97,cam1,cam2,133.1,ok
98,cam2,cam3,674.9,ok
99,cam3,cam4,572.6,ok
100,cam4,cam1,132.8,ok
