metric,n,min,q1,median,q3,p95,p99,max,mean,std
mttr_ms,100,1753.9,1795.8,1796.7,1797.4,1837.1,1837.703,1838.0,1799.801,14.103
detect_ms,100,754.0,783.15,796.3,798.4,815.78,840.709,851.5,790.125,21.334
restore_ms,100,982.6,999.05,1000.1,1033.0,1040.815,1042.702,1042.9,1009.685,19.03
n_ok,100,,,,,,,,,
n_fail,0,,,,,,,,,
