group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,23.3,29.5,38.55,58.025,88.3,96.005,97.4,46.049,20.972
ALL,ram_pct,896,6.9,7.6,8.3,8.8,9.6,9.6,9.7,8.233,0.904
0_cams,cpu_pct,180,23.3,24.575,25.1,25.925,27.205,28.847,37.0,25.304,1.38
0_cams,ram_pct,180,6.9,6.9,6.9,6.9,6.9,6.921,7.0,6.901,0.011
1_cams,cpu_pct,179,28.1,29.5,30.4,31.5,34.61,43.27,48.7,30.888,2.614
1_cams,ram_pct,179,7.5,7.6,7.6,7.7,7.95,9.122,9.3,7.704,0.305
2_cams,cpu_pct,179,32.8,37.05,38.4,40.1,43.0,55.698,57.0,39.039,3.746
2_cams,ram_pct,179,8.2,8.3,8.3,8.3,8.4,8.4,8.4,8.291,0.049
3_cams,cpu_pct,179,41.4,47.9,53.1,59.05,65.5,70.364,73.1,53.639,6.966
3_cams,ram_pct,179,8.7,8.7,8.8,8.8,8.9,8.9,8.9,8.77,0.064
4_cams,cpu_pct,179,54.2,76.6,82.7,88.4,96.01,96.9,97.4,81.488,10.169
4_cams,ram_pct,179,9.3,9.4,9.5,9.6,9.6,9.622,9.7,9.507,0.101
