metric,n,min,q1,median,q3,p95,p99,max,mean,std
mttr_ms,100,155.9,473.8,795.85,2042.5,2359.795,2674.537,2717.8,1161.254,829.361
detect_ms,100,38.2,80.1,334.95,955.225,1120.64,1519.09,1597.3,507.323,447.597
restore_ms,100,37.5,358.875,445.25,1076.675,1364.095,1561.741,1605.4,653.935,441.187
n_ok,100,,,,,,,,,
n_fail,0,,,,,,,,,
