metric,n,min,q1,median,q3,p95,p99,max,mean,std
mttr_ms,100,1716.6,1756.7,1794.2,1796.8,1836.605,1837.602,1837.8,1780.259,26.099
detect_ms,100,714.5,756.675,757.9,796.6,798.9,837.705,838.2,769.589,24.761
restore_ms,100,960.0,999.45,1000.2,1038.45,1040.205,1041.154,1076.2,1010.671,21.164
n_ok,100,,,,,,,,,
n_fail,0,,,,,,,,,
