timestamp,elapsed_s,cpu_pct,ram_pct,ram_available_mb,n_cameras_active,cam1,cam2,cam3,cam4,composite
2026-07-29 10:47:36,0,0.0,0.0,0,0,0,0,0,0,unknown
2026-07-29 10:47:40,4,0.0,0.0,0,0,0,0,0,0,unknown
2026-07-29 10:47:40,4,0.0,0.0,0,0,0,0,0,0,unknown
2026-07-29 10:47:40,4,0.0,0.0,0,0,0,0,0,0,full_screen
2026-07-29 10:47:40,4,0.0,0.0,0,0,0,0,0,0,full_screen
2026-07-29 10:47:40,4,0.0,0.0,0,0,0,0,0,0,full_screen
2026-07-29 10:47:41,5,41.2,7.4,118952,0,0,0,0,0,full_screen
2026-07-29 10:47:46,10,33.0,7.5,118900,0,0,0,0,0,full_screen
2026-07-29 10:47:51,15,32.4,7.4,119024,0,0,0,0,0,full_screen
2026-07-29 10:47:56,20,31.5,7.3,119145,0,0,0,0,0,full_screen
2026-07-29 10:47:57,21,31.5,7.3,119145,0,0,0,0,0,full_screen
2026-07-29 10:47:58,22,31.5,7.3,119145,0,0,0,0,0,full_screen
2026-07-29 10:48:01,25,35.0,7.4,119051,0,0,0,0,0,full_screen
2026-07-29 10:48:06,30,31.5,7.4,119047,0,0,0,0,0,full_screen
2026-07-29 10:48:11,35,33.2,7.4,119040,0,0,0,0,0,full_screen
2026-07-29 10:48:16,40,31.2,7.4,119029,0,0,0,0,0,full_screen
2026-07-29 10:48:21,45,33.9,7.4,119030,0,0,0,0,0,full_screen
2026-07-29 10:48:26,50,29.1,7.4,119009,0,0,0,0,0,full_screen
2026-07-29 10:48:31,55,33.0,7.4,119039,0,0,0,0,0,full_screen
2026-07-29 10:48:36,60,30.9,7.4,119020,0,0,0,0,0,full_screen
2026-07-29 10:48:39,63,30.9,7.4,119020,0,0,0,0,0,full_screen
2026-07-29 10:48:40,64,30.9,7.4,119020,0,0,0,0,0,full_screen
2026-07-29 10:48:41,65,32.8,7.4,119029,0,0,0,0,0,full_screen
2026-07-29 10:48:46,70,31.1,7.4,119024,0,0,0,0,0,full_screen
2026-07-29 10:48:51,75,33.1,7.4,118930,0,0,0,0,0,full_screen
