group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,1204,0.0,43.0,53.5,79.3,92.7,96.5,97.1,58.979,19.738
ALL,ram_pct,1204,0.0,8.1,9.0,9.6,10.2,10.3,10.3,8.82,1.176
0_cams,cpu_pct,251,0.0,35.8,36.9,37.8,38.8,39.1,41.3,35.992,5.773
0_cams,ram_pct,251,0.0,7.4,7.4,7.4,7.4,7.5,7.8,7.217,1.133
1_cams,cpu_pct,235,36.7,43.2,44.3,45.2,46.5,47.466,48.2,44.266,1.444
1_cams,ram_pct,235,7.8,8.2,8.2,8.2,8.3,8.3,8.3,8.182,0.066
2_cams,cpu_pct,234,43.7,52.1,53.5,54.95,57.635,66.902,73.6,53.96,3.333
2_cams,ram_pct,234,8.3,8.9,9.0,9.0,9.1,9.1,9.1,8.97,0.089
3_cams,cpu_pct,242,54.8,67.725,71.45,80.2,84.5,86.454,90.7,73.461,7.171
3_cams,ram_pct,242,9.1,9.6,9.6,9.6,9.8,9.8,9.8,9.605,0.096
4_cams,cpu_pct,242,64.9,83.025,86.1,92.7,96.5,96.959,97.1,87.479,5.825
4_cams,ram_pct,242,9.6,10.1,10.2,10.2,10.3,10.3,10.3,10.173,0.081
