metric,n,min,q1,median,q3,p95,p99,max,mean,std
mttr_ms,100,79.1,1398.4,1659.7,2130.075,2401.565,2555.179,2592.7,1676.317,623.991
detect_ms,100,26.3,70.075,76.35,81.625,472.15,475.231,478.3,128.317,138.822
restore_ms,100,24.6,1309.775,1521.45,2035.9,2325.525,2475.079,2522.5,1547.999,628.725
n_ok,100,,,,,,,,,
n_fail,0,,,,,,,,,
