iteration,from,to,latency_ms,status
1,fs,sbs,319.4,ok
2,sbs,fs,296.1,ok
3,fs,sbs,296.0,ok
4,sbs,fs,296.3,ok
5,fs,sbs,295.7,ok
6,sbs,fs,296.9,ok
7,fs,sbs,297.0,ok
8,sbs,fs,296.3,ok
9,fs,sbs,297.2,ok
10,sbs,fs,295.3,ok
11,fs,sbs,296.1,ok
12,sbs,fs,296.1,ok
13,fs,sbs,295.5,ok
14,sbs,fs,297.1,ok
15,fs,sbs,296.3,ok
16,sbs,fs,296.8,ok
17,fs,sbs,295.0,ok
18,sbs,fs,296.6,ok
19,fs,sbs,297.6,ok
20,sbs,fs,295.5,ok
21,fs,sbs,297.3,ok
22,sbs,fs,295.8,ok
23,fs,sbs,297.1,ok
24,sbs,fs,294.8,ok
25,fs,sbs,296.7,ok
26,sbs,fs,296.7,ok
27,fs,sbs,295.3,ok
28,sbs,fs,296.6,ok
29,fs,sbs,295.0,ok
30,sbs,fs,296.2,ok
31,fs,sbs,297.0,ok
32,sbs,fs,294.2,ok
33,fs,sbs,297.4,ok
34,sbs,fs,296.6,ok
35,fs,sbs,295.7,ok
36,sbs,fs,295.1,ok
37,fs,sbs,296.4,ok
38,sbs,fs,295.9,ok
39,fs,sbs,297.5,ok
40,sbs,fs,298.7,ok
41,fs,sbs,294.5,ok
42,sbs,fs,295.1,ok
43,fs,sbs,296.5,ok
44,sbs,fs,296.9,ok
45,fs,sbs,295.8,ok
46,sbs,fs,296.0,ok
47,fs,sbs,295.8,ok
48,sbs,fs,297.4,ok
49,fs,sbs,295.9,ok
50,sbs,fs,297.1,ok
51,fs,sbs,296.1,ok
52,sbs,fs,296.6,ok
53,fs,sbs,296.6,ok
54,sbs,fs,296.3,ok
55,fs,sbs,296.2,ok
56,sbs,fs,295.9,ok
57,fs,sbs,295.6,ok
58,sbs,fs,295.2,ok
59,fs,sbs,297.2,ok
60,sbs,fs,297.5,ok
61,fs,sbs,297.8,ok
62,sbs,fs,294.6,ok
63,fs,sbs,296.3,ok
64,sbs,fs,296.7,ok
65,fs,sbs,296.2,ok
66,sbs,fs,295.9,ok
67,fs,sbs,296.0,ok
68,sbs,fs,297.0,ok
69,fs,sbs,295.0,ok
70,sbs,fs,296.4,ok
71,fs,sbs,295.1,ok
72,sbs,fs,296.2,ok
73,fs,sbs,296.2,ok
74,sbs,fs,296.1,ok
75,fs,sbs,296.2,ok
76,sbs,fs,295.9,ok
77,fs,sbs,296.8,ok
78,sbs,fs,296.3,ok
79,fs,sbs,296.4,ok
80,sbs,fs,295.9,ok
81,fs,sbs,295.6,ok
82,sbs,fs,297.1,ok
83,fs,sbs,296.5,ok
84,sbs,fs,296.3,ok
85,fs,sbs,295.1,ok
86,sbs,fs,295.8,ok
87,fs,sbs,296.1,ok
88,sbs,fs,297.2,ok
89,fs,sbs,296.1,ok
90,sbs,fs,295.3,ok
91,fs,sbs,295.9,ok
92,sbs,fs,296.1,ok
93,fs,sbs,296.3,ok
94,sbs,fs,296.2,ok
95,fs,sbs,295.5,ok
96,sbs,fs,296.2,ok
97,fs,sbs,296.1,ok
98,sbs,fs,297.1,ok
99,fs,sbs,295.9,ok
100,sbs,fs,294.9,ok
