iteration,from,to,latency_ms,status
1,cam1,cam2,149.5,ok
2,cam2,cam3,516.9,ok
3,cam3,cam4,157.3,ok
4,cam4,cam1,177.8,ok
5,cam1,cam2,348.1,ok
6,cam2,cam3,491.8,ok
7,cam3,cam4,160.3,ok
8,cam4,cam1,146.8,ok
9,cam1,cam2,534.8,ok
10,cam2,cam3,378.6,ok
11,cam3,cam4,154.9,ok
12,cam4,cam1,157.1,ok
13,cam1,cam2,619.3,ok
14,cam2,cam3,271.2,ok
15,cam3,cam4,171.7,ok
16,cam4,cam1,154.3,ok
17,cam1,cam2,671.3,ok
18,cam2,cam3,198.4,ok
19,cam3,cam4,171.1,ok
20,cam4,cam1,262.2,ok
21,cam1,cam2,645.8,ok
22,cam2,cam3,261.9,ok
23,cam3,cam4,168.0,ok
24,cam4,cam1,138.9,ok
25,cam1,cam2,649.1,ok
26,cam2,cam3,213.4,ok
27,cam3,cam4,176.2,ok
28,cam4,cam1,332.0,ok
29,cam1,cam2,632.7,ok
30,cam2,cam3,153.9,ok
31,cam3,cam4,160.7,ok
32,cam4,cam1,348.1,ok
33,cam1,cam2,651.4,ok
34,cam2,cam3,155.5,ok
35,cam3,cam4,157.0,ok
36,cam4,cam1,234.9,ok
37,cam1,cam2,740.7,ok
38,cam2,cam3,163.9,ok
39,cam3,cam4,158.6,ok
40,cam4,cam1,252.6,ok
41,cam1,cam2,151.6,ok
42,cam2,cam3,440.8,ok
43,cam3,cam4,169.0,ok
44,cam4,cam1,532.1,ok
45,cam1,cam2,722.9,ok
46,cam2,cam3,166.3,ok
47,cam3,cam4,153.9,ok
48,cam4,cam1,318.7,ok
49,cam1,cam2,672.7,ok
50,cam2,cam3,153.5,ok
51,cam3,cam4,158.7,ok
52,cam4,cam1,410.8,ok
53,cam1,cam2,594.6,ok
54,cam2,cam3,153.6,ok
55,cam3,cam4,155.7,ok
56,cam4,cam1,311.4,ok
57,cam1,cam2,760.1,ok
58,cam2,cam3,150.6,ok
59,cam3,cam4,156.1,ok
60,cam4,cam1,233.5,ok
61,cam1,cam2,156.1,ok
62,cam2,cam3,151.0,ok
63,cam3,cam4,240.7,ok
64,cam4,cam1,751.2,ok
65,cam1,cam2,694.7,ok
66,cam2,cam3,694.4,ok
67,cam3,cam4,152.5,ok
68,cam4,cam1,153.7,ok
69,cam1,cam2,373.2,ok
70,cam2,cam3,476.7,ok
71,cam3,cam4,151.4,ok
72,cam4,cam1,156.7,ok
73,cam1,cam2,518.6,ok
74,cam2,cam3,311.2,ok
75,cam3,cam4,171.0,ok
76,cam4,cam1,156.4,ok
77,cam1,cam2,771.3,ok
78,cam2,cam3,153.9,ok
79,cam3,cam4,156.4,ok
80,cam4,cam1,150.9,ok
81,cam1,cam2,159.6,ok
82,cam2,cam3,632.0,ok
83,cam3,cam4,157.8,ok
84,cam4,cam1,151.4,ok
85,cam1,cam2,143.2,ok
86,cam2,cam3,172.3,ok
87,cam3,cam4,333.0,ok
88,cam4,cam1,592.9,ok
89,cam1,cam2,158.9,ok
90,cam2,cam3,170.0,ok
91,cam3,cam4,412.2,ok
92,cam4,cam1,539.9,ok
93,cam1,cam2,155.7,ok
94,cam2,cam3,656.8,ok
95,cam3,cam4,170.1,ok
96,cam4,cam1,373.2,ok
97,cam1,cam2,152.2,ok
98,cam2,cam3,562.6,ok
99,cam3,cam4,148.5,ok
100,cam4,cam1,454.2,ok
