group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,1922,0.0,86.1,89.8,93.3,96.4,97.2,97.7,88.76,7.905
ALL,ram_pct,1922,0.0,9.2,9.4,9.6,9.8,9.8,9.8,9.347,0.616
0_cams,cpu_pct,7,0.0,0.0,0.0,0.0,25.62,34.404,36.6,5.229,13.833
0_cams,ram_pct,7,0.0,0.0,0.0,0.0,4.2,5.64,6.0,0.857,2.268
4_cams,cpu_pct,1915,36.6,86.2,89.8,93.3,96.4,97.2,97.7,89.065,6.042
4_cams,ram_pct,1915,6.0,9.2,9.4,9.6,9.8,9.8,9.8,9.378,0.316
