group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,31.4,35.1,43.0,64.25,93.4,97.005,97.7,52.281,20.724
ALL,ram_pct,896,7.5,8.2,8.9,9.5,10.2,10.3,10.3,8.853,0.938
0_cams,cpu_pct,180,31.4,33.3,33.9,34.7,35.705,37.026,44.1,34.056,1.259
0_cams,ram_pct,180,7.5,7.5,7.5,7.6,7.6,7.6,7.6,7.526,0.044
1_cams,cpu_pct,179,32.4,34.6,35.3,36.1,37.31,37.822,38.0,35.38,1.073
1_cams,ram_pct,179,8.1,8.2,8.2,8.2,8.2,8.2,8.2,8.195,0.022
2_cams,cpu_pct,179,38.6,42.0,43.0,44.5,49.43,57.796,61.8,43.933,3.506
2_cams,ram_pct,179,8.8,8.8,8.9,8.9,9.0,9.0,9.0,8.879,0.06
3_cams,cpu_pct,179,48.4,54.85,59.1,65.45,79.13,83.168,86.6,60.828,8.451
3_cams,ram_pct,179,9.4,9.5,9.5,9.5,9.5,9.5,9.5,9.485,0.035
4_cams,cpu_pct,179,61.2,83.2,89.1,93.4,97.01,97.7,97.7,87.308,8.516
4_cams,ram_pct,179,10.0,10.1,10.2,10.2,10.3,10.3,10.3,10.187,0.08
